Car_name,Battery,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.
Tesla Model Y Long Range Dual Motor,75,172,670,59017,435,217,5
Tesla Model 3,57.5,137,700,46220,420,201,6.1
BYD ATTO 3,60.5,183,370,44625,330,160,7.3
MG MG4 Electric 64 kWh,61.7,171,630,39990,360,160,7.9
Tesla Model 3 Long Range Dual Motor,75,149,780,55220,505,201,4.4
Tesla Model Y,57.5,164,580,47567,350,217,6.9
BMW iX xDrive40,71,197,480,77300,360,200,6.1
Volvo EX30 Single Motor ER,64,173,550,41790,370,180,5.3
Citroen e-C3,44,176,320,23300,250,135,11
BYD SEAL 82.5 kWh AWD Excellence,82.5,170,530,53668,485,180,3.8
BMW i4 eDrive40,80.7,157,800,59200,515,190,5.7
Renault Megane E-Tech EV60 220hp,60,158,530,46600,380,160,7.4
BMW iX1 xDrive30,64.7,170,550,55000,380,180,5.6
Hyundai Kona Electric 64 kWh,64,164,370,42900,390,167,7.9
Tesla Model Y Performance,75,181,640,63667,415,250,3.7
Kia Niro EV,64.8,168,390,45690,385,167,7.8
Rolls-Royce Spectre,100,220,540,NA,455,250,4.5
Tesla Model S Plaid,95,170,780,110970,560,282,2.1
BMW iX3,74,192,520,67300,385,180,6.8
Hongqi E-HS9 99 kWh,90,243,430,NA,370,200,4.9
Fiat 500e Hatchback 42 kWh,37.3,159,390,34990,235,150,9
BYD HAN,85.4,180,450,70805,475,180,3.9
Tesla Model S Dual Motor,95,165,800,95970,575,250,3.2
BYD DOLPHIN 60.4 kWh,60.5,178,340,35990,340,160,7
CUPRA Born 150 kW - 58 kWh,58,166,470,39370,350,160,7.3
Dacia Spring Electric 45,25,152,180,22550,165,125,19.1
BMW i5 eDrive40 Sedan,81.2,171,710,70200,475,193,6
BMW i4 M50,80.7,179,700,70800,450,225,3.9
Opel Astra Electric,50.8,167,490,41990,305,170,9.2
MG ZS EV Long Range,68.3,185,420,37990,370,175,8.4
Audi Q4 e-tron 40,76.6,189,630,NA,405,160,8.5
BMW i7 xDrive60,101.7,199,760,139900,510,240,4.7
Toyota bZ4X FWD,64,188,510,47490,340,160,7.5
Volvo EX30 Single Motor,49,175,430,36590,280,180,5.7
Smart #1,62,185,520,42490,335,180,6.7
Kia EV6 Long Range 2WD,74,180,1070,51990,410,185,7.3
Volkswagen ID.7 Pro,77,162,710,56995,475,180,6.5
BMW iX xDrive50,105.2,208,680,100100,505,200,4.6
Audi Q8 e-tron 55 quattro,106,210,640,85300,505,200,5.6
MG MG4 Electric 51 kWh,50.8,169,390,34990,300,160,7.7
Peugeot e-3008 73 kWh,73,183,460,NA,400,180,7
BYD SEAL 82.5 kWh RWD Design,82.5,165,550,47578,500,180,5.9
Skoda Enyaq 85,77,169,680,48900,455,180,6.7
Hyundai Kona Electric 65 kWh,65.4,168,400,47190,390,170,8.8
Volkswagen ID.3 Pro,58,166,450,39995,350,160,7.3
Renault Zoe ZE50 R110,52,165,230,36840,315,135,11.4
Kia EV9 99.8 kWh AWD,96,226,740,76490,425,200,6
Peugeot e-208,46.3,162,460,39100,285,150,8.1
Audi e-tron GT RS,85,210,1000,146050,405,250,3.3
Renault Twingo Electric,21.3,158,NA,28000,135,135,12.6
CUPRA Born 170 kW - 77 kWh,77,171,630,46450,450,160,7
BYD TANG,86.4,240,330,71400,360,180,4.6
Mini Cooper SE,28.9,161,260,35700,180,150,7.3
BMW i4 eDrive35,67,156,580,56500,430,190,6
Hyundai IONIQ 6 Long Range AWD,74,168,1150,61100,440,185,5.1
Kia EV6 GT,74,206,940,72990,360,260,3.5
Hyundai IONIQ 6 Long Range 2WD,74,149,1290,54000,495,185,7.4
Jeep Avenger Electric,50.8,164,500,37000,310,150,9
