label,pric per person (euro/day),hotel quality,archaeological interest,landscape interest,night life interest,security level,sport activity level,kids friendly
Alisoso,138,44,71,40,73,74,38,47
Banate,156,41,27,43,57,35,3,46
Salito,126,25,49,44,29,0,58,58
Managase,132,38,47,74,51,46,34,55
Balaorte,200,54,56,95,60,54,60,69
Ikdan,122,60,34,99,20,61,47,59
Bugujas,119,47,73,45,55,77,39,53
Tiil,115,60,83,70,79,27,23,78
Ulugan,115,1,0,46,26,36,67,21
Baasan,113,9,47,53,54,34,58,16
Sapid,116,24,38,88,53,64,36,22
Grande,138,65,94,58,67,52,26,66
Pilahan,130,17,45,54,62,89,25,40
Calalas,181,45,76,91,100,67,19,43
Anguapan,119,54,39,58,65,30,19,37
Lauigan,134,33,30,88,61,56,16,36
Manalec,179,47,62,74,78,63,0,49
Caningag,141,44,61,0,85,69,54,65
Naruntan,155,77,64,99,45,47,47,78
Manyapit,160,55,38,74,52,37,48,52
Pange,132,53,38,79,45,36,45,66
Taguiled,122,42,44,77,44,48,42,59
Mulaog,169,47,39,94,71,93,55,42
Patong,135,31,69,43,46,79,31,40
Samak,133,32,12,98,68,7,2,15
Tagabili,127,14,39,70,41,44,37,34
Bololo,170,100,71,86,76,73,35,100
Milakeg,169,41,57,49,58,67,30,46
Butig,160,52,50,59,67,40,64,61
Sagneb,165,51,61,88,68,60,40,47
Casugad,108,30,26,74,35,39,33,35
Lolumpan,151,92,61,81,42,39,40,83
Tapa,138,29,48,55,51,29,38,38
Kalakan,123,64,53,58,13,20,65,87
Remedio,124,62,44,96,61,39,4,63
Sugangon,131,42,75,51,43,36,27,65
Barung,148,64,77,39,70,48,23,63
Sibarok,153,25,49,64,59,68,50,54
Tapon,146,60,28,88,21,34,46,65
Higpos,147,12,42,58,39,77,56,24
Sipa,124,15,66,46,62,27,44,47
Tobog,149,92,51,82,27,67,50,82
Canawa,188,53,80,83,52,62,60,68
Tombo,147,44,58,72,53,74,61,55
Tulayan,146,68,53,44,68,73,39,61
Janjid,167,82,100,63,49,36,53,79
Malanao,133,56,52,47,32,63,35,49
Carbonel,134,66,52,74,52,20,34,73
Piddan,150,44,45,94,48,66,65,41
Inguan,162,28,49,91,57,81,53,16
Atuyan,108,56,62,45,24,40,28,50
Bijia,135,52,42,62,30,27,40,64
Binuling,137,32,36,74,22,25,29,35
Cabalao,135,84,50,73,53,21,16,87
Dibungco,132,36,52,61,18,67,35,59
Pansog,151,77,64,83,46,22,40,71
Samba,103,19,26,39,28,51,100,47
Himamara,145,66,71,58,82,77,42,62
Maangol,138,56,62,65,54,45,31,66
Kohec,139,17,60,40,39,58,54,44
Talboc,149,76,61,86,54,20,53,81
Tandayag,169,82,49,84,44,30,41,72
Binone,112,58,36,60,30,19,40,79
Malapgap,136,39,63,61,39,52,38,57
Taluay,158,44,62,98,63,46,37,40
Alibuag,142,39,54,69,53,45,43,52
Buludan,136,63,68,81,37,77,45,71
Sumbao,157,12,45,85,60,93,36,21
Gaboc,111,0,27,61,26,66,59,24
Tabangao,161,76,100,30,90,63,8,69
Andoon,100,28,40,46,31,44,60,56
Tinagum,163,39,66,70,48,81,62,40
Caccag,154,3,46,67,49,38,49,0
Novele,150,57,67,74,64,38,35,56
Sadaan,148,45,54,73,42,77,34,30
Binoalan,142,12,6,93,53,36,43,33
Mapno,168,68,58,72,77,72,41,72
Apo,171,38,64,68,47,66,43,32
Dalapuan,145,8,15,86,71,23,40,19
Mandile,119,49,84,59,44,39,4,64
Butason,138,43,35,97,54,35,46,44
Kasile,129,57,66,31,62,23,34,79
Macapso,163,59,87,86,46,29,36,66
Vigaan,154,74,75,96,46,55,55,84
Kitapok,139,33,69,62,30,99,58,47
Soom,148,30,39,100,46,43,55,39
Nuangan,123,24,15,81,6,7,55,52
Talairan,101,42,54,87,0,40,29,63
Marcote,137,39,31,59,44,37,49,67
Olang,123,63,74,52,53,54,4,71
Tahiran,142,58,75,70,47,76,58,58
Catongi,173,72,56,76,72,100,45,68
Bulaloc,183,60,45,92,42,63,34,70
Amot,129,36,42,59,41,71,28,40
Abucot,142,46,37,85,45,49,34,48
Iwahig,123,60,60,50,49,15,34,69
Majon,168,43,42,66,52,86,50,46
Piluro,146,55,57,72,40,69,32,74
Silion,128,62,70,66,70,69,34,59
Maripipi,108,56,78,76,37,64,39,63
