label,price per person (euro/day),hotel quality,archaeological interest,landscape interest,night life interest,security level,sport activity level,kids friendly
Bango,142,66,50,58,45,57,43,33
Carbonel,141,14,79,0,98,19,74,30
Liwayway,100,24,39,24,73,43,75,53
Ungala,146,56,64,48,55,33,24,63
Pedol,144,36,67,25,99,24,86,49
Binday,153,46,75,53,64,74,82,66
Sunggiam,156,72,43,71,48,36,11,49
Batabat,115,51,43,54,55,59,11,27
Samba,135,71,39,85,53,78,41,24
Bialong,158,81,58,79,60,34,94,43
Bugujas,124,62,51,73,58,62,0,36
Ubuhan,167,51,67,56,58,78,40,63
Matabang,141,67,46,63,32,64,62,34
Cangyco,131,24,41,39,61,39,51,38
Talumpoc,121,14,35,46,71,65,41,41
Tagabili,153,54,69,45,69,51,25,48
Tabangao,161,21,70,34,82,65,70,32
Sibuyao,108,68,30,51,56,26,20,43
Managase,156,67,60,62,17,54,69,38
Comarag,151,55,45,63,56,42,8,24
Bacnono,146,0,0,13,39,10,43,86
Butig,166,49,93,58,68,77,56,35
Pacao,147,72,12,76,25,48,3,29
Grande,187,57,44,66,39,40,59,40
Matungau,160,55,67,74,72,88,8,27
Ambasa,153,15,10,42,31,52,66,53
Dullan,143,88,41,81,51,25,45,71
Tolitul,158,34,40,57,40,74,44,55
Banate,155,51,66,62,92,38,39,24
Dirita,163,39,52,54,42,74,72,77
Nagbokel,165,45,32,71,38,75,18,47
Tahiran,116,62,38,65,64,40,38,69
Andoon,134,48,65,41,35,53,39,35
Bakey,168,56,38,67,46,40,62,47
Bacungan,118,56,25,57,77,16,50,42
Katiwing,155,69,69,73,64,62,17,28
Alinasa,147,95,36,95,9,39,64,36
Baswit,176,60,75,66,41,87,68,41
Kitapok,161,39,29,56,38,53,58,49
Himongan,152,84,45,62,44,0,35,74
Bonsod,198,26,62,45,75,60,83,82
Usllya,147,81,27,81,80,24,51,49
Bambanay,145,16,60,37,73,88,54,39
Kalakan,150,46,45,57,36,59,77,42
Siasi,151,84,56,75,36,57,42,67
Pedtubo,100,22,6,35,39,30,22,54
Pambuko,142,64,56,58,33,39,62,65
Malitbog,183,49,51,52,66,34,75,55
Macabato,146,85,100,67,64,55,47,58
Ticdalan,157,49,50,71,81,76,73,42
Marang,159,36,52,66,54,100,39,42
Cabuyo,156,56,15,83,58,21,81,57
Macdu,152,87,60,87,36,78,22,0
Miputak,200,28,57,59,45,70,100,54
Pinatau,165,6,67,44,98,69,76,38
Subocan,142,100,37,85,45,28,17,47
Tansa,177,74,56,84,45,41,22,53
Pakawan,175,58,50,60,70,40,58,58
Kinapian,191,63,84,61,58,32,64,39
Midsalip,163,43,50,62,56,71,13,29
Limbuaya,127,59,70,60,56,73,8,42
Libas,122,42,18,43,62,15,60,36
Malibas,144,69,37,61,62,36,8,62
Kanhulao,135,49,66,47,63,70,13,32
Atuyan,130,51,62,56,58,69,46,7
Baasan,166,58,75,69,61,64,87,60
Abuac,157,43,56,50,78,50,57,39
Franca,141,80,41,70,52,61,28,40
Taluay,140,30,16,55,74,20,80,49
Kohec,143,0,52,37,100,91,12,59
Dinaigal,118,24,47,42,66,68,79,38
Inamoc,163,81,62,72,30,65,28,62
Remedio,133,15,84,29,71,97,16,65
Patong,169,74,47,83,25,56,45,69
Vigaan,136,48,95,41,63,87,7,26
Piahan,150,43,59,56,68,74,77,52
Binone,147,16,51,39,65,43,92,68
San,164,72,71,87,82,82,30,25
Janosa,124,79,23,65,0,34,40,22
Barabod,184,47,57,52,69,44,37,55
Mohan,146,58,47,62,35,62,62,36
Guisihan,141,3,38,41,60,79,33,41
Daganas,198,56,67,49,63,16,57,73
Puti,183,34,21,63,62,46,49,80
Janjid,165,59,32,71,58,25,28,59
Catongi,160,81,45,84,60,50,36,45
Sapadun,130,77,21,100,50,78,27,43
Amot,199,50,36,65,70,21,54,87
Pahut,124,20,44,41,96,63,22,40
Jubas,178,55,83,61,69,69,21,15
Gorsica,143,62,34,68,64,13,94,100
Taguite,166,60,83,53,58,66,45,70
Dungo,179,42,74,44,44,44,64,48
Batbatan,135,39,81,47,55,98,32,24
Barung,165,42,59,60,60,54,36,42
Maya,128,37,32,49,43,59,17,22
Dalapuan,181,46,83,53,62,43,93,54
Tumibo,134,57,34,57,54,22,54,79
Talugtug,140,43,35,54,53,51,20,58
Pullua,130,45,84,42,32,90,35,26
